id,name,tactics,is_subtechnique,url
T1398,Boot or Logon Initialization Scripts,persistence,false,https://attack.mitre.org/techniques/T1398
T1404,Exploitation for Privilege Escalation,privilege-escalation,false,https://attack.mitre.org/techniques/T1404
T1406,Obfuscated Files or Information,defense-evasion,false,https://attack.mitre.org/techniques/T1406
T1406.001,Steganography,defense-evasion,true,https://attack.mitre.org/techniques/T1406/001
T1406.002,Software Packing,defense-evasion,true,https://attack.mitre.org/techniques/T1406/002
T1407,Download New Code at Runtime,defense-evasion,false,https://attack.mitre.org/techniques/T1407
T1409,Stored Application Data,collection,false,https://attack.mitre.org/techniques/T1409
T1414,Clipboard Data,collection|credential-access,false,https://attack.mitre.org/techniques/T1414
T1417,Input Capture,collection|credential-access,false,https://attack.mitre.org/techniques/T1417
T1417.001,Keylogging,collection|credential-access,true,https://attack.mitre.org/techniques/T1417/001
T1417.002,GUI Input Capture,collection|credential-access,true,https://attack.mitre.org/techniques/T1417/002
T1418,Software Discovery,discovery,false,https://attack.mitre.org/techniques/T1418
T1418.001,Security Software Discovery,discovery,true,https://attack.mitre.org/techniques/T1418/001
T1420,File and Directory Discovery,discovery,false,https://attack.mitre.org/techniques/T1420
T1421,System Network Connections Discovery,discovery,false,https://attack.mitre.org/techniques/T1421
T1422,System Network Configuration Discovery,discovery,false,https://attack.mitre.org/techniques/T1422
T1422.001,Internet Connection Discovery,discovery,true,https://attack.mitre.org/techniques/T1422/001
T1422.002,Wi-Fi Discovery,discovery,true,https://attack.mitre.org/techniques/T1422/002
T1423,Network Service Scanning,discovery,false,https://attack.mitre.org/techniques/T1423
T1424,Process Discovery,discovery,false,https://attack.mitre.org/techniques/T1424
T1426,System Information Discovery,discovery,false,https://attack.mitre.org/techniques/T1426
T1428,Exploitation of Remote Services,lateral-movement,false,https://attack.mitre.org/techniques/T1428
T1429,Audio Capture,collection,false,https://attack.mitre.org/techniques/T1429
T1430,Location Tracking,collection|discovery,false,https://attack.mitre.org/techniques/T1430
T1430.001,Remote Device Management Services,collection|discovery,true,https://attack.mitre.org/techniques/T1430/001
T1430.002,Impersonate SS7 Nodes,collection|discovery,true,https://attack.mitre.org/techniques/T1430/002
T1437,Application Layer Protocol,command-and-control,false,https://attack.mitre.org/techniques/T1437
T1437.001,Web Protocols,command-and-control,true,https://attack.mitre.org/techniques/T1437/001
T1451,SIM Card Swap,initial-access,false,https://attack.mitre.org/techniques/T1451
T1453,Abuse Accessibility Features,collection|credential-access,false,https://attack.mitre.org/techniques/T1453
T1456,Drive-By Compromise,initial-access,false,https://attack.mitre.org/techniques/T1456
T1458,Replication Through Removable Media,initial-access|lateral-movement,false,https://attack.mitre.org/techniques/T1458
T1461,Lockscreen Bypass,initial-access,false,https://attack.mitre.org/techniques/T1461
T1464,Network Denial of Service,impact,false,https://attack.mitre.org/techniques/T1464
T1471,Data Encrypted for Impact,impact,false,https://attack.mitre.org/techniques/T1471
T1474,Supply Chain Compromise,initial-access,false,https://attack.mitre.org/techniques/T1474
T1474.001,Compromise Software Dependencies and Development Tools,initial-access,true,https://attack.mitre.org/techniques/T1474/001
